iter	Passed	Remaining
0	302	302581
1	387	193572
2	466	155107
3	552	137621
4	643	128066
5	721	119537
6	808	114646
7	900	111715
8	1003	110486
9	1086	107523
10	1152	103653
11	1213	99874
12	1268	96324
13	1327	93504
14	1387	91115
15	1442	88733
16	1497	86584
17	1552	84719
18	1609	83096
19	1665	81605
20	1720	80218
21	1775	78918
22	1832	77834
23	1888	76819
24	1943	75811
25	2002	74999
26	2064	74403
27	2126	73807
28	2186	73197
29	2240	72451
30	2294	71721
31	2346	70984
32	2399	70324
33	2453	69708
34	2512	69280
35	2568	68779
36	2628	68421
37	2686	68018
38	2745	67651
39	2802	67252
40	2858	66871
41	2919	66599
42	2976	66235
43	3027	65773
44	3080	65365
45	3130	64926
46	3186	64619
47	3245	64378
48	3300	64060
49	3355	63751
50	3411	63473
51	3463	63141
52	3515	62808
53	3568	62511
54	3622	62245
55	3675	61951
56	3728	61681
57	3781	61414
58	3836	61181
59	3889	60927
60	3942	60689
61	3995	60443
62	4051	60261
63	4110	60114
64	4161	59864
65	4214	59636
66	4271	59479
67	4334	59406
68	4394	59294
69	4450	59133
70	4503	58930
71	4554	58701
72	4600	58426
73	4651	58212
74	4703	58005
75	4759	57866
76	4817	57752
77	4872	57598
78	4928	57453
79	4978	57255
80	5028	57053
81	5075	56820
82	5126	56637
83	5177	56456
84	5232	56328
85	5288	56209
86	5342	56060
87	5392	55884
88	5444	55733
89	5492	55540
90	5541	55352
91	5596	55231
92	5650	55105
93	5707	55015
94	5761	54888
95	5817	54781
96	5872	54671
97	5921	54498
98	5974	54377
99	6026	54237
100	6080	54122
101	6130	53972
102	6178	53809
103	6229	53672
104	6279	53528
105	6331	53397
106	6380	53252
107	6429	53104
108	6481	52981
109	6536	52889
110	6591	52792
111	6644	52679
112	6696	52562
113	6749	52458
114	6801	52343
115	6854	52239
116	6907	52131
117	6960	52026
118	7008	51889
119	7058	51765
120	7105	51619
121	7156	51503
122	7206	51381
123	7256	51264
124	7309	51166
125	7365	51090
126	7426	51048
127	7482	50976
128	7537	50892
129	7589	50789
130	7642	50699
131	7700	50636
132	7758	50578
133	7809	50471
134	7861	50368
135	7918	50308
136	7978	50260
137	8034	50186
138	8089	50106
139	8143	50027
140	8197	49938
141	8246	49828
142	8295	49712
143	8347	49618
144	8396	49512
145	8446	49407
146	8495	49295
147	8548	49210
148	8599	49114
149	8649	49014
150	8700	48918
151	8755	48849
152	8812	48787
153	8874	48752
154	8926	48664
155	8976	48564
156	9025	48460
157	9074	48358
158	9124	48259
159	9179	48193
160	9230	48101
161	9280	48007
162	9329	47905
163	9377	47802
164	9428	47716
165	9477	47616
166	9526	47518
167	9590	47493
168	9651	47459
169	9711	47413
170	9768	47359
171	9828	47312
172	9882	47240
173	9932	47153
174	9981	47057
175	10030	46959
176	10076	46853
177	10130	46783
178	10189	46733
179	10243	46666
180	10293	46575
181	10345	46499
182	10393	46403
183	10441	46307
184	10491	46219
185	10544	46147
186	10594	46058
187	10642	45965
188	10690	45872
189	10742	45796
190	10791	45707
191	10841	45625
192	10889	45531
193	10938	45444
194	10989	45368
195	11040	45288
196	11090	45205
197	11139	45119
198	11188	45035
199	11241	44966
200	11291	44885
201	11340	44801
202	11390	44721
203	11439	44637
204	11489	44556
205	11539	44478
206	11590	44404
207	11641	44327
208	11693	44257
209	11748	44195
210	11799	44122
211	11853	44057
212	11902	43976
213	11951	43896
214	12004	43830
215	12058	43767
216	12110	43698
217	12162	43628
218	12214	43560
219	12268	43498
220	12319	43426
221	12371	43354
222	12423	43288
223	12476	43220
224	12525	43143
225	12574	43065
226	12627	42999
227	12677	42927
228	12731	42865
229	12782	42793
230	12832	42720
231	12880	42638
232	12928	42557
233	12977	42483
234	13023	42397
235	13073	42322
236	13122	42246
237	13175	42183
238	13231	42129
239	13286	42072
240	13340	42015
241	13396	41961
242	13453	41910
243	13508	41855
244	13564	41801
245	13618	41741
246	13670	41675
247	13723	41613
248	13780	41562
249	13838	41515
250	13892	41454
251	13941	41381
252	13989	41306
253	14040	41237
254	14096	41182
255	14152	41131
256	14206	41072
257	14260	41011
258	14317	40963
259	14373	40907
260	14430	40858
261	14483	40796
262	14541	40749
263	14595	40691
264	14649	40631
265	14705	40577
266	14759	40518
267	14810	40453
268	14858	40378
269	14911	40314
270	14971	40273
271	15028	40224
272	15081	40163
273	15132	40095
274	15184	40032
275	15238	39972
276	15287	39903
277	15338	39837
278	15389	39769
279	15441	39707
280	15491	39637
281	15541	39569
282	15591	39501
283	15641	39433
284	15695	39376
285	15745	39309
286	15795	39241
287	15843	39169
288	15899	39115
289	15948	39046
290	15998	38977
291	16045	38905
292	16096	38841
293	16145	38771
294	16193	38698
295	16241	38628
296	16295	38571
297	16343	38500
298	16390	38426
299	16438	38357
300	16490	38294
301	16539	38226
302	16586	38154
303	16634	38084
304	16682	38014
305	16735	37955
306	16782	37882
307	16829	37811
308	16876	37740
309	16923	37668
310	16976	37609
311	17026	37546
312	17076	37481
313	17126	37417
314	17176	37351
315	17226	37287
316	17274	37219
317	17321	37149
318	17370	37081
319	17421	37020
320	17475	36965
321	17533	36917
322	17588	36865
323	17641	36808
324	17696	36753
325	17747	36692
326	17797	36629
327	17845	36561
328	17893	36494
329	17945	36434
330	17998	36377
331	18052	36323
332	18102	36259
333	18153	36198
334	18201	36131
335	18249	36064
336	18296	35995
337	18345	35931
338	18394	35865
339	18440	35796
340	18489	35732
341	18539	35669
342	18591	35610
343	18640	35546
344	18688	35480
345	18736	35416
346	18787	35355
347	18837	35292
348	18883	35224
349	18935	35166
350	18994	35120
351	19050	35070
352	19105	35017
353	19156	34957
354	19207	34898
355	19256	34834
356	19308	34777
357	19362	34723
358	19414	34665
359	19464	34604
360	19519	34551
361	19572	34495
362	19624	34437
363	19682	34389
364	19737	34338
365	19796	34292
366	19855	34246
367	19910	34193
368	19966	34143
369	20018	34085
370	20069	34025
371	20117	33962
372	20171	33907
373	20222	33848
374	20272	33786
375	20321	33724
376	20370	33662
377	20423	33606
378	20476	33551
379	20534	33504
380	20594	33459
381	20650	33407
382	20701	33349
383	20753	33291
384	20801	33228
385	20852	33169
386	20903	33111
387	20953	33050
388	20999	32983
389	21047	32920
390	21096	32859
391	21145	32797
392	21195	32737
393	21253	32689
394	21309	32638
395	21367	32590
396	21416	32529
397	21465	32467
398	21515	32407
399	21564	32346
400	21615	32287
401	21665	32228
402	21716	32170
403	21765	32108
404	21814	32048
405	21864	31989
406	21914	31929
407	21964	31870
408	22016	31813
409	22070	31759
410	22120	31700
411	22171	31643
412	22219	31581
413	22268	31520
414	22319	31462
415	22373	31409
416	22425	31352
417	22477	31296
418	22536	31249
419	22593	31199
420	22652	31153
421	22710	31106
422	22777	31069
423	22836	31022
424	22895	30976
425	22953	30927
426	23005	30871
427	23056	30813
428	23105	30753
429	23154	30693
430	23205	30635
431	23265	30589
432	23317	30534
433	23367	30474
434	23415	30413
435	23464	30352
436	23517	30297
437	23566	30237
438	23616	30179
439	23667	30122
440	23721	30068
441	23774	30014
442	23821	29952
443	23870	29891
444	23919	29831
445	23970	29774
446	24023	29720
447	24083	29674
448	24140	29623
449	24196	29573
450	24250	29519
451	24299	29460
452	24349	29401
453	24408	29354
454	24464	29304
455	24516	29248
456	24569	29193
457	24622	29137
458	24671	29079
459	24721	29020
460	24771	28963
461	24826	28910
462	24878	28854
463	24929	28797
464	24980	28741
465	25032	28685
466	25085	28630
467	25137	28574
468	25187	28516
469	25237	28459
470	25290	28404
471	25341	28348
472	25391	28289
473	25439	28230
474	25487	28170
475	25535	28111
476	25587	28054
477	25638	27998
478	25690	27942
479	25742	27887
480	25792	27830
481	25851	27782
482	25908	27731
483	25961	27677
484	26017	27626
485	26072	27574
486	26126	27521
487	26179	27466
488	26232	27412
489	26283	27356
490	26333	27298
491	26382	27240
492	26432	27183
493	26483	27127
494	26533	27069
495	26581	27010
496	26630	26952
497	26682	26896
498	26732	26839
499	26781	26781
500	26831	26724
501	26881	26667
502	26932	26610
503	26980	26552
504	27030	26494
505	27079	26437
506	27132	26382
507	27180	26324
508	27229	26266
509	27278	26209
510	27327	26151
511	27378	26095
512	27427	26037
513	27478	25981
514	27527	25923
515	27578	25868
516	27626	25809
517	27675	25752
518	27728	25697
519	27778	25641
520	27833	25589
521	27892	25541
522	27953	25494
523	28013	25447
524	28072	25398
525	28133	25352
526	28189	25300
527	28248	25252
528	28309	25205
529	28367	25155
530	28431	25111
531	28490	25063
532	28546	25011
533	28607	24964
534	28666	24915
535	28727	24868
536	28786	24819
537	28841	24767
538	28891	24710
539	28944	24656
540	29004	24608
541	29060	24556
542	29114	24503
543	29173	24454
544	29232	24405
545	29295	24359
546	29356	24311
547	29415	24262
548	29477	24215
549	29529	24160
550	29580	24104
551	29631	24048
552	29683	23994
553	29739	23941
554	29789	23885
555	29838	23827
556	29889	23771
557	29941	23717
558	29992	23661
559	30046	23608
560	30105	23558
561	30166	23510
562	30224	23459
563	30274	23403
564	30325	23348
565	30380	23294
566	30430	23238
567	30483	23184
568	30534	23128
569	30587	23074
570	30640	23020
571	30690	22964
572	30743	22910
573	30794	22854
574	30846	22799
575	30899	22745
576	30951	22690
577	31003	22635
578	31053	22579
579	31103	22523
580	31152	22466
581	31201	22409
582	31254	22355
583	31306	22300
584	31358	22245
585	31409	22190
586	31460	22134
587	31510	22078
588	31559	22022
589	31609	21965
590	31659	21910
591	31709	21854
592	31757	21796
593	31807	21740
594	31859	21686
595	31907	21628
596	31956	21572
597	32007	21516
598	32057	21460
599	32108	21405
600	32157	21349
601	32211	21295
602	32261	21239
603	32311	21184
604	32361	21128
605	32411	21073
606	32462	21017
607	32516	20964
608	32567	20909
609	32616	20853
610	32665	20797
611	32717	20742
612	32769	20687
613	32820	20633
614	32870	20577
615	32920	20522
616	32970	20466
617	33022	20411
618	33072	20356
619	33123	20301
620	33175	20247
